timestamp,latitude,longitude
1647675723,-84.0593,34.7761
1647675783,-80.8705,32.2045
1647675843,-77.8499,29.5224
1647675903,-75.0006,26.7639
1647675963,-72.3004,23.9414
1647676023,-69.7492,21.0893
1647676083,-67.2844,18.1684
1647676143,-64.9100,15.2109
1647676203,-62.6087,12.2236
1647676263,-60.3648,9.2134
1647676323,-58.1815,6.2115
1647676383,-56.0082,3.1736
1647676443,-53.8492,0.1302
1647676503,-51.6912,-2.9129
1647676563,-49.5385,-5.9254
1647676623,-47.3410,-8.9524
1647676683,-45.1028,-11.9626
1647676743,-42.8086,-14.9504
1647676803,-40.4613,-17.8865
1647676863,-38.0198,-20.7974
1647676923,-35.4609,-23.6758
1647676983,-32.7767,-26.5008
1647677043,-29.9463,-29.2624
1647677103,-26.9726,-31.9273
1647677163,-23.7826,-34.5268
1647677223,-20.3752,-37.0234
1647677283,-16.7256,-39.3997
1647677343,-12.8429,-41.6184
1647677403,-8.6405,-43.6953
1647677463,-4.1334,-45.5868
1647677523,0.6863,-47.2673
1647677583,5.8138,-48.7097
1647677643,11.1822,-49.8788
1647677703,16.8437,-50.7702
1647677763,22.6932,-51.3519
1647677823,28.6555,-51.6098
1647677883,34.5936,-51.5391
1647677943,40.5174,-51.1405
1647678003,46.2957,-50.4230
1647678063,51.8563,-49.4044
1647678123,57.1492,-48.1069
1647678183,62.1034,-46.5703
1647678243,66.7893,-44.7951
1647678303,71.1642,-42.8201
1647678363,75.2406,-40.6705
1647678423,79.0072,-38.3889
1647678483,82.5499,-35.9578
1647678543,85.8614,-33.4139
1647678603,88.9669,-30.7733
1647678663,91.8669,-28.0732
1647678723,94.6320,-25.2820
1647678783,97.2604,-22.4317
1647678843,99.7717,-19.5322
1647678903,102.1675,-16.6138
1647678963,104.5007,-13.6405
1647679023,106.7695,-10.6406
1647679083,108.9890,-7.6211
1647679143,111.1740,-4.5873
1647679203,113.3206,-1.5704
1647679263,115.4782,1.4746
1647679323,117.6426,4.5172
1647679383,119.8275,7.5519
1647679443,122.0470,10.5730
1647679503,124.2966,13.5497
1647679563,126.6295,16.5262
1647679623,129.0429,19.4695
1647679683,131.5543,22.3723
1647679743,134.1604,25.2030
1647679803,136.9255,27.9996
1647679863,139.8493,30.7267
1647679923,142.9551,33.3716
1647679983,146.2680,35.9206
1647680043,149.7825,38.3373
1647680103,153.5859,40.6459
1647680163,157.6663,42.8006
1647680223,162.0465,44.7805
1647680283,166.6980,46.5462
1647680343,171.7002,48.1008
1647680403,177.0031,49.4016
1647680463,-177.4251,50.4227
1647680523,-171.6857,51.1365
1647680583,-165.7505,51.5379
1647680643,-159.7506,51.6093
1647680703,-153.7747,51.3488
1647680763,-147.9623,50.7694
1647680823,-142.2912,49.8759
1647680883,-136.8689,48.6925
1647680943,-131.7359,47.2439
1647681003,-126.9100,45.5562
1647681063,-122.4365,43.6744
1647681123,-118.2301,41.5922
1647681183,-114.3130,39.3487
1647681243,-110.6633,36.9659
1647681303,-107.2832,34.4840
1647681363,-104.0917,31.8789
1647681423,-101.0932,29.1865
1647681483,-98.2637,26.4198
1647681543,-95.5803,23.5901
1647681603,-93.0393,20.7273
1647681663,-90.5866,17.8012
1647681723,-88.2221,14.8394
1647681783,-85.9478,11.8741
1647681843,-83.7098,8.8618
1647681903,-81.5115,5.8320
1647681963,-79.3407,2.7930
1647682023,-77.2004,-0.2254
1647682083,-75.0415,-3.2683
1647682143,-72.8680,-6.3054
1647682203,-70.6648,-9.3325
1647682263,-68.4388,-12.3159
1647682323,-66.1372,-15.3005
1647682383,-63.7621,-18.2550
1647682443,-61.2967,-21.1722
1647682503,-58.7228,-24.0442
1647682563,-56.0442,-26.8382
1647682623,-53.1946,-29.5914
1647682683,-50.1735,-32.2682
1647682743,-46.9569,-34.8552
1647682803,-43.5197,-37.3372
1647682863,-39.8686,-39.6776
1647682923,-35.9188,-41.8959
1647682983,-31.6778,-43.9502
1647683043,-27.1307,-45.8160
1647683103,-22.3040,-47.4571
1647683163,-17.1397,-48.8685
